Record,Correct,Wrong,Percent,week
10-6,10,6,0.625,1
10-6,10,6,0.625,1
6-10,6,10,0.375,1
6-10,6,10,0.375,1
10-6,10,6,0.625,1
9-7,9,7,0.5625,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
7-9,7,9,0.4375,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
8-8,8,8,0.5,2
12-4,12,4,0.75,2
10-6,10,6,0.625,2
8-8,8,8,0.5,2
10-6,10,6,0.625,2
10-6,10,6,0.625,2
10-6,10,6,0.625,2
10-6,10,6,0.625,2
11-5,11,5,0.6875,2
9-7,9,7,0.5625,2
9-7,9,7,0.5625,2
11-5,11,5,0.6875,3
10-6,10,6,0.625,3
11-5,11,5,0.6875,3
11-5,11,5,0.6875,3
11-5,11,5,0.6875,3
13-3,13,3,0.8125,3
9-7,9,7,0.5625,3
11-5,11,5,0.6875,3
11-5,11,5,0.6875,3
10-6,10,6,0.625,3
12-4,12,4,0.75,3
11-5,11,5,0.6875,4
12-4,12,4,0.75,4
9-7,9,7,0.5625,4
9-7,9,7,0.5625,4
8-8,8,8,0.5,4
9-7,9,7,0.5625,4
10-6,10,6,0.625,4
11-5,11,5,0.6875,4
9-7,9,7,0.5625,4
9-7,9,7,0.5625,4
9-7,9,7,0.5625,4
14-2,14,2,0.875,5
14-2,14,2,0.875,5
12-4,12,4,0.75,5
8-8,8,8,0.5,5
12-4,12,4,0.75,5
11-5,11,5,0.6875,5
10-6,10,6,0.625,5
12-4,12,4,0.75,5
12-4,12,4,0.75,5
13-3,13,3,0.8125,5
8-6,8,6,0.5714285714285714,6
8-6,8,6,0.5714285714285714,6
10-4,10,4,0.7142857142857143,6
10-4,10,4,0.7142857142857143,6
9-5,9,5,0.6428571428571429,6
8-6,8,6,0.5714285714285714,6
10-4,10,4,0.7142857142857143,6
9-5,9,5,0.6428571428571429,6
9-5,9,5,0.6428571428571429,6
8-6,8,6,0.5714285714285714,6
12-2,12,2,0.8571428571428571,6
10-3,10,3,0.7692307692307693,7
7-6,7,6,0.5384615384615384,7
9-4,9,4,0.6923076923076923,7
8-5,8,5,0.6153846153846154,7
7-6,7,6,0.5384615384615384,7
9-4,9,4,0.6923076923076923,7
11-2,11,2,0.8461538461538461,7
8-5,8,5,0.6153846153846154,7
10-3,10,3,0.7692307692307693,7
7-6,7,6,0.5384615384615384,7
7-6,7,6,0.5384615384615384,7
8-7,8,7,0.5333333333333333,8
9-6,9,6,0.6,8
9-6,9,6,0.6,8
7-8,7,8,0.4666666666666667,8
10-5,10,5,0.6666666666666666,8
8-7,8,7,0.5333333333333333,8
6-9,6,9,0.4,8
11-4,11,4,0.7333333333333333,8
6-9,6,9,0.4,8
9-6,9,6,0.6,8
