Record,Correct,Wrong,Percent,week
10-6,10,6,0.625,1
10-6,10,6,0.625,1
6-10,6,10,0.375,1
6-10,6,10,0.375,1
10-6,10,6,0.625,1
9-7,9,7,0.5625,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
7-9,7,9,0.4375,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
18-13,18,13,0.5806451612903226,2
21-10,21,10,0.6774193548387096,2
15-16,15,16,0.4838709677419355,2
13-18,13,18,0.41935483870967744,2
19-12,19,12,0.6129032258064516,2
18-13,18,13,0.5806451612903226,2
19-12,19,12,0.6129032258064516,2
17-14,17,14,0.5483870967741935,2
17-14,17,14,0.5483870967741935,2
18-13,18,13,0.5806451612903226,2
16-15,16,15,0.5161290322580645,2
