team,odds,week
Dolphins,150,17
Titans,-175,17
Chiefs,-230,17
Bengals,190,17
Falcons,650,17
Bills,-1000,17
Jaguars,700,17
Patriots,-1100,17
Eagles,-190,17
Football Team,160,17
Giants,230,17
Bears,-280,17
Rams,-180,17
Ravens,155,17
Raiders,280,17
Colts,-350,17
Buccaneers,-800,17
Jets,550,17
Texans,550,17
49ers,-800,17
Broncos,205,17
Chargers,-250,17
Lions,240,17
Seahawks,-300,17
Cardinals,190,17
Cowboys,-230,17
Panthers,260,17
Saints,-330,17
Vikings,235,17
Packers,-290,17
Browns,-160,17
Steelers,140,17
