Correct,Wrong,Tie,Percent,week
6,10,0,0.375,1
8,8,0,0.5,1
11,5,0,0.6875,1
8,8,0,0.5,1
9,7,0,0.5625,1
10,6,0,0.625,1
9,7,0,0.5625,1
8,8,0,0.5,1
10,6,0,0.625,2
11,5,0,0.6875,2
11,5,0,0.6875,2
10,6,0,0.625,2
9,7,0,0.5625,2
9,7,0,0.5625,2
11,5,0,0.6875,2
10,6,0,0.625,2
10,6,0,0.625,3
9,7,0,0.5625,3
10,6,0,0.625,3
13,3,0,0.8125,3
8,8,0,0.5,3
12,4,0,0.75,3
10,6,0,0.625,3
10,6,0,0.625,3
9,7,0,0.5625,4
9,7,0,0.5625,4
8,8,0,0.5,4
10,6,0,0.625,4
12,4,0,0.75,4
10,6,0,0.625,4
10,6,0,0.625,4
11,5,0,0.6875,4
13,3,0,0.8125,5
11,5,0,0.6875,5
10,6,0,0.625,5
11,5,0,0.6875,5
13,3,0,0.8125,5
12,4,0,0.75,5
11,5,0,0.6875,5
13,3,0,0.8125,5
9,5,0,0.6428571428571429,6
9,5,0,0.6428571428571429,6
7,7,0,0.5,6
7,7,0,0.5,6
9,5,0,0.6428571428571429,6
10,4,0,0.7142857142857143,6
10,4,0,0.7142857142857143,6
8,6,0,0.5714285714285714,6
