Correct,Wrong,Tie,Percent,week
6,10,0,0.375,1
8,8,0,0.5,1
11,5,0,0.6875,1
8,8,0,0.5,1
9,7,0,0.5625,1
10,6,0,0.625,1
9,7,0,0.5625,1
8,8,0,0.5,1
16,16,0,0.5,2
19,13,0,0.59375,2
22,10,0,0.6875,2
18,14,0,0.5625,2
18,14,0,0.5625,2
19,13,0,0.59375,2
20,12,0,0.625,2
18,14,0,0.5625,2
26,22,0,0.5416666666666666,3
28,20,0,0.5833333333333334,3
32,16,0,0.6666666666666666,3
31,17,0,0.6458333333333334,3
26,22,0,0.5416666666666666,3
31,17,0,0.6458333333333334,3
30,18,0,0.625,3
28,20,0,0.5833333333333334,3
35,29,0,0.546875,4
37,27,0,0.578125,4
40,24,0,0.625,4
41,23,0,0.640625,4
38,26,0,0.59375,4
41,23,0,0.640625,4
40,24,0,0.625,4
39,25,0,0.609375,4
48,32,0,0.6,5
48,32,0,0.6,5
50,30,0,0.625,5
52,28,0,0.65,5
51,29,0,0.6375,5
53,27,0,0.6625,5
51,29,0,0.6375,5
52,28,0,0.65,5
57,37,0,0.6063829787234043,6
57,37,0,0.6063829787234043,6
57,37,0,0.6063829787234043,6
59,35,0,0.6276595744680851,6
60,34,0,0.6382978723404256,6
63,31,0,0.6702127659574468,6
61,33,0,0.648936170212766,6
60,34,0,0.6382978723404256,6
66,41,0,0.616822429906542,7
67,40,0,0.6261682242990654,7
64,43,0,0.5981308411214953,7
67,40,0,0.6261682242990654,7
69,38,0,0.6448598130841121,7
73,34,0,0.6822429906542056,7
71,36,0,0.6635514018691588,7
68,39,0,0.6355140186915887,7
74,48,0,0.6065573770491803,8
72,50,0,0.5901639344262295,8
72,50,0,0.5901639344262295,8
74,48,0,0.6065573770491803,8
77,45,0,0.6311475409836066,8
79,43,0,0.6475409836065574,8
78,44,0,0.639344262295082,8
75,47,0,0.6147540983606558,8
82,54,0,0.6029411764705882,9
78,58,0,0.5735294117647058,9
80,56,0,0.5882352941176471,9
82,54,0,0.6029411764705882,9
86,50,0,0.6323529411764706,9
86,50,0,0.6323529411764706,9
83,53,0,0.6102941176470589,9
82,54,0,0.6029411764705882,9
89,60,1,0.5933333333333334,10
82,67,1,0.5466666666666666,10
88,61,1,0.5866666666666667,10
90,59,1,0.6,10
94,55,1,0.6266666666666667,10
92,57,1,0.6133333333333333,10
88,61,1,0.5866666666666667,10
89,60,1,0.5933333333333334,10
97,67,1,0.5878787878787879,11
91,73,1,0.5515151515151515,11
96,68,1,0.5818181818181818,11
100,64,1,0.6060606060606061,11
102,62,1,0.6181818181818182,11
101,63,1,0.6121212121212121,11
98,66,1,0.593939393939394,11
98,66,1,0.593939393939394,11
106,73,1,0.5888888888888889,12
100,79,1,0.5555555555555556,12
104,75,1,0.5777777777777777,12
109,70,1,0.6055555555555555,12
109,70,1,0.6055555555555555,12
108,71,1,0.6,12
110,69,1,0.6111111111111112,12
108,71,1,0.6,12
115,78,1,0.5927835051546392,13
109,84,1,0.5618556701030928,13
110,83,1,0.5670103092783505,13
119,74,1,0.6134020618556701,13
118,75,1,0.6082474226804123,13
118,75,1,0.6082474226804123,13
121,72,1,0.6237113402061856,13
118,75,1,0.6082474226804123,13
125,82,1,0.6009615384615384,14
119,88,1,0.5721153846153846,14
122,85,1,0.5865384615384616,14
130,77,1,0.625,14
128,79,1,0.6153846153846154,14
129,78,1,0.6201923076923077,14
132,75,1,0.6346153846153846,14
129,78,1,0.6201923076923077,14
137,86,1,0.6116071428571429,15
132,91,1,0.5892857142857143,15
133,90,1,0.59375,15
140,83,1,0.625,15
138,85,1,0.6160714285714286,15
140,83,1,0.625,15
141,82,1,0.6294642857142857,15
139,84,1,0.6205357142857143,15
148,91,1,0.6166666666666667,16
142,97,1,0.5916666666666667,16
143,96,1,0.5958333333333333,16
152,87,1,0.6333333333333333,16
148,91,1,0.6166666666666667,16
152,87,1,0.6333333333333333,16
151,88,1,0.6291666666666667,16
151,88,1,0.6291666666666667,16
160,95,1,0.625,17
154,101,1,0.6015625,17
157,98,1,0.61328125,17
163,92,1,0.63671875,17
161,94,1,0.62890625,17
166,89,1,0.6484375,17
164,91,1,0.640625,17
163,92,1,0.63671875,17
168,103,1,0.6176470588235294,18
164,107,1,0.6029411764705882,18
166,105,1,0.6102941176470589,18
171,100,1,0.6286764705882353,18
167,104,1,0.6139705882352942,18
174,97,1,0.6397058823529411,18
175,96,1,0.6433823529411765,18
173,98,1,0.6360294117647058,18
