Record,Correct,Wrong,Percent,week
10-6,10,6,0.625,1
10-6,10,6,0.625,1
6-10,6,10,0.375,1
6-10,6,10,0.375,1
10-6,10,6,0.625,1
9-7,9,7,0.5625,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
7-9,7,9,0.4375,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
18-14,18,14,0.5625,2
22-10,22,10,0.6875,2
16-16,16,16,0.5,2
14-18,14,18,0.4375,2
20-12,20,12,0.625,2
19-13,19,13,0.59375,2
20-12,20,12,0.625,2
18-14,18,14,0.5625,2
18-14,18,14,0.5625,2
19-13,19,13,0.59375,2
17-15,17,15,0.53125,2
29-19,29,19,0.6041666666666666,3
32-16,32,16,0.6666666666666666,3
27-21,27,21,0.5625,3
25-23,25,23,0.5208333333333334,3
31-17,31,17,0.6458333333333334,3
32-16,32,16,0.6666666666666666,3
29-19,29,19,0.6041666666666666,3
29-19,29,19,0.6041666666666666,3
29-19,29,19,0.6041666666666666,3
29-19,29,19,0.6041666666666666,3
29-19,29,19,0.6041666666666666,3
40-24,40,24,0.625,4
44-20,44,20,0.6875,4
36-28,36,28,0.5625,4
34-30,34,30,0.53125,4
39-25,39,25,0.609375,4
41-23,41,23,0.640625,4
39-25,39,25,0.609375,4
40-24,40,24,0.625,4
38-26,38,26,0.59375,4
38-26,38,26,0.59375,4
38-26,38,26,0.59375,4
54-26,54,26,0.675,5
58-22,58,22,0.725,5
48-32,48,32,0.6,5
42-38,42,38,0.525,5
51-29,51,29,0.6375,5
52-28,52,28,0.65,5
49-31,49,31,0.6125,5
52-28,52,28,0.65,5
50-30,50,30,0.625,5
51-29,51,29,0.6375,5
38-26,38,26,0.59375,5
62-32,62,32,0.6595744680851063,6
66-28,66,28,0.7021276595744681,6
58-36,58,36,0.6170212765957447,6
52-42,52,42,0.5531914893617021,6
60-34,60,34,0.6382978723404256,6
60-34,60,34,0.6382978723404256,6
59-35,59,35,0.6276595744680851,6
61-33,61,33,0.648936170212766,6
59-35,59,35,0.6276595744680851,6
59-35,59,35,0.6276595744680851,6
50-28,50,28,0.6410256410256411,6
72-35,72,35,0.6728971962616822,7
73-34,73,34,0.6822429906542056,7
67-40,67,40,0.6261682242990654,7
60-47,60,47,0.5607476635514018,7
67-40,67,40,0.6261682242990654,7
69-38,69,38,0.6448598130841121,7
70-37,70,37,0.6542056074766355,7
69-38,69,38,0.6448598130841121,7
69-38,69,38,0.6448598130841121,7
66-41,66,41,0.616822429906542,7
57-34,57,34,0.6263736263736264,7
80-42,80,42,0.6557377049180327,8
82-40,82,40,0.6721311475409836,8
76-46,76,46,0.6229508196721312,8
67-55,67,55,0.5491803278688525,8
77-45,77,45,0.6311475409836066,8
77-45,77,45,0.6311475409836066,8
76-46,76,46,0.6229508196721312,8
80-42,80,42,0.6557377049180327,8
75-47,75,47,0.6147540983606558,8
75-47,75,47,0.6147540983606558,8
57-34,57,34,0.6263736263736264,8
88-48,88,48,0.6470588235294118,9
89-47,89,47,0.6544117647058824,9
83-53,83,53,0.6102941176470589,9
74-62,74,62,0.5441176470588235,9
85-51,85,51,0.625,9
84-52,84,52,0.6176470588235294,9
85-51,85,51,0.625,9
89-47,89,47,0.6544117647058824,9
83-53,83,53,0.6102941176470589,9
83-53,83,53,0.6102941176470589,9
62-43,62,43,0.5904761904761905,9
94-55,94,55,0.6308724832214765,10
97-52,97,52,0.6510067114093959,10
89-60,89,60,0.5973154362416108,10
78-71,78,71,0.5234899328859061,10
89-60,89,60,0.5973154362416108,10
87-62,87,62,0.5838926174496645,10
93-56,93,56,0.6241610738255033,10
97-52,97,52,0.6510067114093959,10
89-60,89,60,0.5973154362416108,10
88-61,88,61,0.5906040268456376,10
69-49,69,49,0.5847457627118644,10
102-62,102,62,0.6219512195121951,11
108-56,108,56,0.6585365853658537,11
97-67,97,67,0.5914634146341463,11
85-79,85,79,0.5182926829268293,11
98-66,98,66,0.5975609756097561,11
98-66,98,66,0.5975609756097561,11
104-60,104,60,0.6341463414634146,11
108-56,108,56,0.6585365853658537,11
98-66,98,66,0.5975609756097561,11
97-67,97,67,0.5914634146341463,11
69-49,69,49,0.5847457627118644,11
