team,odds,week
Chiefs,-475,18
Broncos,360,18
Cowboys,-300,18
Eagles,240,18
Football Team,-290,18
Giants,235,18
Packers,-160,18
Lions,140,18
Steelers,175,18
Ravens,-210,18
Bengals,140,18
Browns,-160,18
Colts,-1100,18
Jaguars,700,18
Bears,120,18
Vikings,-140,18
Titans,-550,18
Texans,400,18
Patriots,-300,18
Dolphins,240,18
49ers,190,18
Rams,-230,18
Saints,-210,18
Falcons,175,18
Seahawks,235,18
Cardinals,-290,18
Jets,800,18
Bills,-1400,18
Panthers,310,18
Buccaneers,-400,18
Chargers,-145,18
Raiders,125,18
